ID,Title,website,seniorly_url,normalized_types,Slug
,Regency Adult Home Care,https://www.seniorly.com/assisted-living/arizona/phoenix/regency-adult-home-care-llc,https://www.seniorly.com/assisted-living/arizona/phoenix/regency-adult-home-care-llc,"Assisted Living Community, Assisted Living Home",regency-adult-home-care
,Rejoice Assisted Living 2,https://www.seniorly.com/assisted-living/arizona/glendale/rejoice-assisted-living-home-2,https://www.seniorly.com/assisted-living/arizona/glendale/rejoice-assisted-living-home-2,"Assisted Living Community, Assisted Living Home",rejoice-assisted-living-2
,Rhodas Assisted Living,https://www.seniorly.com/assisted-living/arizona/avondale/rhoda-s-assisted-living-home,https://www.seniorly.com/assisted-living/arizona/avondale/rhoda-s-assisted-living-home,"Assisted Living Community, Assisted Living Home",rhodas-assisted-living
,Rialto House Assisted Living,https://www.seniorly.com/assisted-living/arizona/mesa/rialto-house-assisted-living,https://www.seniorly.com/assisted-living/arizona/mesa/rialto-house-assisted-living,Assisted Living Community,rialto-house-assisted-living
,Ridgecrest I,https://www.seniorly.com/assisted-living/arizona/tucson/ridgecrest-i,https://www.seniorly.com/assisted-living/arizona/tucson/ridgecrest-i,"Assisted Living Community, Assisted Living Home",ridgecrest-i
,Rivendell Care Home,https://www.seniorly.com/assisted-living/arizona/phoenix/rivendell-care-home,https://www.seniorly.com/assisted-living/arizona/phoenix/rivendell-care-home,"Assisted Living Community, Assisted Living Home",rivendell-care-home
,River Of Love Adult Care Home,https://www.seniorly.com/assisted-living/arizona/phoenix/river-of-love-adult-care-home,https://www.seniorly.com/assisted-living/arizona/phoenix/river-of-love-adult-care-home,"Assisted Living Community, Assisted Living Home",river-of-love-adult-care-home
,Riviergreen Assisted Living,https://www.seniorly.com/assisted-living/arizona/tempe/riviergreen-assisted-living-home,https://www.seniorly.com/assisted-living/arizona/tempe/riviergreen-assisted-living-home,Assisted Living Community,riviergreen-assisted-living
,Robson Reserve At Pebblecreek,https://www.seniorly.com/assisted-living/arizona/goodyear/robson-reserve-at-pebblecreek,https://www.seniorly.com/assisted-living/arizona/goodyear/robson-reserve-at-pebblecreek,"Assisted Living Community, Independent Living",robson-reserve-at-pebblecreek
,Robson Reserve At Sun Lakes,https://www.seniorly.com/assisted-living/arizona/sun-lakes/renaissance-luxury-retirement-living,https://www.seniorly.com/assisted-living/arizona/sun-lakes/renaissance-luxury-retirement-living,"Assisted Living Community, Independent Living, Memory Care",robson-reserve-at-sun-lakes
,Rodys Adult Care Home,https://www.seniorly.com/assisted-living/arizona/phoenix/rody-s-adult-care-home,https://www.seniorly.com/assisted-living/arizona/phoenix/rody-s-adult-care-home,"Assisted Living Community, Assisted Living Home",rodys-adult-care-home
,Ronald Home Care,https://www.seniorly.com/assisted-living/arizona/phoenix/ronald-home-care,https://www.seniorly.com/assisted-living/arizona/phoenix/ronald-home-care,"Assisted Living Community, Assisted Living Home",ronald-home-care
,Rosarian Assisted Living,https://www.seniorly.com/assisted-living/arizona/glendale/rosarian-assisted-living,https://www.seniorly.com/assisted-living/arizona/glendale/rosarian-assisted-living,"Assisted Living Community, Assisted Living Home",rosarian-assisted-living
,Royal Paradise Care,https://www.seniorly.com/assisted-living/arizona/surprise/royal-paradise-care-llc,https://www.seniorly.com/assisted-living/arizona/surprise/royal-paradise-care-llc,"Assisted Living Community, Assisted Living Home",royal-paradise-care
,Rutledge Ranch Retreat,https://www.seniorly.com/assisted-living/arizona/paulden/rutledge-ranch-retreat-llc,https://www.seniorly.com/assisted-living/arizona/paulden/rutledge-ranch-retreat-llc,"Assisted Living Community, Assisted Living Home",rutledge-ranch-retreat
,Saguaro Ranch Luxury Assisted Living,https://www.seniorly.com/assisted-living/arizona/tucson/saguaro-ranch-luxury-assisted-living-llc,https://www.seniorly.com/assisted-living/arizona/tucson/saguaro-ranch-luxury-assisted-living-llc,"Assisted Living Community, Assisted Living Home",saguaro-ranch-luxury-assisted-living
,Sakutas Young At Heart Assisted Living,https://www.seniorly.com/assisted-living/arizona/tucson/sakuta-s-young-at-heart-assisted-living-home,https://www.seniorly.com/assisted-living/arizona/tucson/sakuta-s-young-at-heart-assisted-living-home,"Assisted Living Community, Assisted Living Home",sakutas-young-at-heart-assisted-living
,San Nicolas Assisted Living Nw,https://www.seniorly.com/assisted-living/arizona/tucson/san-nicolas-assisted-living-home-nw-inc,https://www.seniorly.com/assisted-living/arizona/tucson/san-nicolas-assisted-living-home-nw-inc,"Assisted Living Community, Assisted Living Home",san-nicolas-assisted-living-nw
,San Nicolas Ii,https://www.seniorly.com/assisted-living/arizona/tucson/san-nicolas-ii,https://www.seniorly.com/assisted-living/arizona/tucson/san-nicolas-ii,"Assisted Living Community, Assisted Living Home",san-nicolas-ii
,Sapphire Elite Care Home,https://www.seniorly.com/assisted-living/arizona/phoenix/sapphire-elite-care-home-llc,https://www.seniorly.com/assisted-living/arizona/phoenix/sapphire-elite-care-home-llc,"Assisted Living Community, Assisted Living Home",sapphire-elite-care-home
,Sarahs Place At Glencroft,https://www.seniorly.com/assisted-living/arizona/glendale/sarah-s-place-at-glencroft,https://www.seniorly.com/assisted-living/arizona/glendale/sarah-s-place-at-glencroft,Assisted Living Community,sarahs-place-at-glencroft
,Scottsdale Foothills Assisted Living,https://www.seniorly.com/assisted-living/arizona/scottsdale/scottsdale-foothills-assisted-living,https://www.seniorly.com/assisted-living/arizona/scottsdale/scottsdale-foothills-assisted-living,"Assisted Living Community, Assisted Living Home",scottsdale-foothills-assisted-living
,Scottsdale Village Square,https://www.seniorly.com/assisted-living/arizona/scottsdale/scottsdale-village-square-a-pacifica-senior-living-community,https://www.seniorly.com/assisted-living/arizona/scottsdale/scottsdale-village-square-a-pacifica-senior-living-community,"Assisted Living Community, Independent Living, Memory Care",scottsdale-village-square
,Sedona Winds,https://www.seniorly.com/assisted-living/arizona/sedona/sedona-winds,https://www.seniorly.com/assisted-living/arizona/sedona/sedona-winds,"Assisted Living Community, Independent Living, Memory Care",sedona-winds
,Senior Care Assisted Living,https://www.seniorly.com/assisted-living/arizona/tucson/senior-care-assisted-living-tucson,https://www.seniorly.com/assisted-living/arizona/tucson/senior-care-assisted-living-tucson,Assisted Living Community,senior-care-assisted-living
,Senior Living At Superstition Mountains,https://www.seniorly.com/assisted-living/arizona/apache-junction/senior-living-at-superstition-mountains,https://www.seniorly.com/assisted-living/arizona/apache-junction/senior-living-at-superstition-mountains,"Assisted Living Community, Memory Care",senior-living-at-superstition-mountains
,Senior Sanctuary Of Anthem,https://www.seniorly.com/assisted-living/arizona/anthem/senior-sanctuary-of-anthem,https://www.seniorly.com/assisted-living/arizona/anthem/senior-sanctuary-of-anthem,Assisted Living Community,senior-sanctuary-of-anthem
,Senior Serenity Assisted Living,https://www.seniorly.com/assisted-living/arizona/phoenix/senior-serenity-assisted-living,https://www.seniorly.com/assisted-living/arizona/phoenix/senior-serenity-assisted-living,Assisted Living Community,senior-serenity-assisted-living
,Serenade Assisted Living,https://www.seniorly.com/assisted-living/arizona/gilbert/serenade-assisted-living-llc,https://www.seniorly.com/assisted-living/arizona/gilbert/serenade-assisted-living-llc,"Assisted Living Community, Assisted Living Home",serenade-assisted-living
,Serendipity In The Sun,https://www.seniorly.com/assisted-living/arizona/scottsdale/serendipity-in-the-sun,https://www.seniorly.com/assisted-living/arizona/scottsdale/serendipity-in-the-sun,Assisted Living Community,serendipity-in-the-sun
,Serenity Assisted Living At Lakewood,https://www.seniorly.com/assisted-living/arizona/phoenix/serenity-assisted-living-at-lakewood,https://www.seniorly.com/assisted-living/arizona/phoenix/serenity-assisted-living-at-lakewood,Assisted Living Community,serenity-assisted-living-at-lakewood
,Serenity Of North Scottsdale,https://www.seniorly.com/assisted-living/arizona/scottsdale/serenity-of-north-scottsdale,https://www.seniorly.com/assisted-living/arizona/scottsdale/serenity-of-north-scottsdale,"Assisted Living Community, Assisted Living Home",serenity-of-north-scottsdale
,Shady Pines Care Home,https://www.seniorly.com/assisted-living/arizona/gilbert/shady-pines-care-home,https://www.seniorly.com/assisted-living/arizona/gilbert/shady-pines-care-home,"Assisted Living Community, Assisted Living Home",shady-pines-care-home
,Shepherd Manor,https://www.seniorly.com/assisted-living/arizona/mesa/shepherd-manor,https://www.seniorly.com/assisted-living/arizona/mesa/shepherd-manor,Assisted Living Community,shepherd-manor
,Sheridan Garden Assisted Living,https://www.seniorly.com/assisted-living/arizona/glendale/sheridan-garden-assisted-living,https://www.seniorly.com/assisted-living/arizona/glendale/sheridan-garden-assisted-living,"Assisted Living Community, Assisted Living Home",sheridan-garden-assisted-living
,Sherwood Heights Adult Living,https://www.seniorly.com/assisted-living/arizona/scottsdale/sherwood-heights-adult-living,https://www.seniorly.com/assisted-living/arizona/scottsdale/sherwood-heights-adult-living,Assisted Living Community,sherwood-heights-adult-living
,Sierra Adult Care,https://www.seniorly.com/assisted-living/arizona/tucson/sierra-adult-care-llc,https://www.seniorly.com/assisted-living/arizona/tucson/sierra-adult-care-llc,"Assisted Living Community, Assisted Living Home",sierra-adult-care
,Silver Bells Adult Care Home,https://www.seniorly.com/assisted-living/arizona/scottsdale/silver-bells-adult-care-home,https://www.seniorly.com/assisted-living/arizona/scottsdale/silver-bells-adult-care-home,"Assisted Living Community, Assisted Living Home",silver-bells-adult-care-home
,Silver Bells Ii,https://www.seniorly.com/assisted-living/arizona/scottsdale/silver-bells-ii,https://www.seniorly.com/assisted-living/arizona/scottsdale/silver-bells-ii,"Assisted Living Community, Assisted Living Home",silver-bells-ii
,Silver Creek Assisted Living,https://www.seniorly.com/assisted-living/arizona/peoria/silver-creek-assisted-living,https://www.seniorly.com/assisted-living/arizona/peoria/silver-creek-assisted-living,"Assisted Living Community, Assisted Living Home",silver-creek-assisted-living
,Silver Moon Assisted Living,https://www.seniorly.com/assisted-living/arizona/tucson/silver-moon-assisted-living-home,https://www.seniorly.com/assisted-living/arizona/tucson/silver-moon-assisted-living-home,"Assisted Living Community, Assisted Living Home",silver-moon-assisted-living
,Silver Springs,https://www.seniorly.com/assisted-living/arizona/green-valley/silver-springs,https://www.seniorly.com/assisted-living/arizona/green-valley/silver-springs,"Assisted Living Community, Independent Living",silver-springs
,Simancas Assisted Living,https://www.seniorly.com/assisted-living/arizona/tucson/simancas-assisted-living-home,https://www.seniorly.com/assisted-living/arizona/tucson/simancas-assisted-living-home,"Assisted Living Community, Assisted Living Home",simancas-assisted-living
,Simply Together Alh,https://www.seniorly.com/assisted-living/arizona/paradise-valley/simply-together-alh,https://www.seniorly.com/assisted-living/arizona/paradise-valley/simply-together-alh,Assisted Living Community,simply-together-alh
,Sky Ridge,https://www.seniorly.com/assisted-living/arizona/gilbert/sky-ridge,https://www.seniorly.com/assisted-living/arizona/gilbert/sky-ridge,"Assisted Living Community, Memory Care",sky-ridge
,Sky Vista,https://www.seniorly.com/assisted-living/arizona/mesa/sky-vista,https://www.seniorly.com/assisted-living/arizona/mesa/sky-vista,"Assisted Living Community, Memory Care",sky-vista
,Skyline At Mina Vista Assisted Living,https://www.seniorly.com/assisted-living/arizona/tucson/skyline-at-mina-vista-assisted-living,https://www.seniorly.com/assisted-living/arizona/tucson/skyline-at-mina-vista-assisted-living,Assisted Living Community,skyline-at-mina-vista-assisted-living
,Solterra Senior Living,https://www.seniorly.com/assisted-living/arizona/chandler/solterra-senior-living,https://www.seniorly.com/assisted-living/arizona/chandler/solterra-senior-living,Assisted Living Community,solterra-senior-living
,Sonoran Adult Care,https://www.seniorly.com/assisted-living/arizona/chandler/sonoran-adult-care-llc,https://www.seniorly.com/assisted-living/arizona/chandler/sonoran-adult-care-llc,"Assisted Living Community, Assisted Living Home",sonoran-adult-care
,Sonoran Hills Assisted Living,https://www.seniorly.com/assisted-living/arizona/phoenix/sonoran-hills-assisted-living,https://www.seniorly.com/assisted-living/arizona/phoenix/sonoran-hills-assisted-living,"Assisted Living Community, Assisted Living Home",sonoran-hills-assisted-living
,Sonoran Senior Care,https://www.seniorly.com/assisted-living/arizona/peoria/sonoran-senior-care,https://www.seniorly.com/assisted-living/arizona/peoria/sonoran-senior-care,Assisted Living Community,sonoran-senior-care
,Southwest Healing Gardens,https://www.seniorly.com/assisted-living/arizona/chandler/southwest-healing-gardens,https://www.seniorly.com/assisted-living/arizona/chandler/southwest-healing-gardens,Assisted Living Community,southwest-healing-gardens
,Spring Assisted Living,https://www.seniorly.com/assisted-living/arizona/mesa/spring-assisted-living,https://www.seniorly.com/assisted-living/arizona/mesa/spring-assisted-living,Assisted Living Community,spring-assisted-living
,Spring Valley,https://www.seniorly.com/assisted-living/arizona/glendale/spring-valley,https://www.seniorly.com/assisted-living/arizona/glendale/spring-valley,"Assisted Living Community, Assisted Living Home",spring-valley
,St Therese Care Home 2,https://www.seniorly.com/assisted-living/arizona/chandler/st-therese-care-home-2,https://www.seniorly.com/assisted-living/arizona/chandler/st-therese-care-home-2,Assisted Living Community,st-therese-care-home-2
,St Charles Place,https://www.seniorly.com/assisted-living/arizona/phoenix/st-charles-place,https://www.seniorly.com/assisted-living/arizona/phoenix/st-charles-place,"Assisted Living Community, Assisted Living Home",st-charles-place
,St Lukes Home,https://www.seniorly.com/assisted-living/arizona/tucson/st-luke-s-home,https://www.seniorly.com/assisted-living/arizona/tucson/st-luke-s-home,Assisted Living Community,st-lukes-home
,St Michaels Manor,https://www.seniorly.com/assisted-living/arizona/peoria/st-michael-s-manor,https://www.seniorly.com/assisted-living/arizona/peoria/st-michael-s-manor,"Assisted Living Community, Assisted Living Home",st-michaels-manor
,Sues Place,https://www.seniorly.com/assisted-living/arizona/phoenix/sue-s-place-llc,https://www.seniorly.com/assisted-living/arizona/phoenix/sue-s-place-llc,"Assisted Living Community, Assisted Living Home",sues-place
,Summer Blossoms Assisted Living,https://www.seniorly.com/assisted-living/arizona/mesa/summer-blossoms-assisted-living,https://www.seniorly.com/assisted-living/arizona/mesa/summer-blossoms-assisted-living,Assisted Living Community,summer-blossoms-assisted-living
,Sun Garden Care Home,https://www.seniorly.com/assisted-living/arizona/glendale/sun-garden-care-home,https://www.seniorly.com/assisted-living/arizona/glendale/sun-garden-care-home,"Assisted Living Community, Assisted Living Home",sun-garden-care-home
,Sun Health Assisted Living At The Colonnade,https://www.seniorly.com/assisted-living/arizona/surprise/sun-health-assisted-living-at-the-colonnade,https://www.seniorly.com/assisted-living/arizona/surprise/sun-health-assisted-living-at-the-colonnade,Assisted Living Community,sun-health-assisted-living-at-the-colonnade
,Sun Valley Heights Assisted Living,https://www.seniorly.com/assisted-living/arizona/scottsdale/sun-valley-heights-assisted-living,https://www.seniorly.com/assisted-living/arizona/scottsdale/sun-valley-heights-assisted-living,"Assisted Living Community, Assisted Living Home",sun-valley-heights-assisted-living
,Sun Valley Manor Assisted Living,https://www.seniorly.com/assisted-living/arizona/scottsdale/sun-valley-manor-assisted-living-home,https://www.seniorly.com/assisted-living/arizona/scottsdale/sun-valley-manor-assisted-living-home,"Assisted Living Community, Assisted Living Home",sun-valley-manor-assisted-living
,Sunrise At River Road,https://www.seniorly.com/assisted-living/arizona/tucson/sunrise-at-river-road,https://www.seniorly.com/assisted-living/arizona/tucson/sunrise-at-river-road,"Assisted Living Community, Memory Care",sunrise-at-river-road
,Sunrise Care Homes Sunnyvale,https://www.seniorly.com/assisted-living/arizona/paradise-valley/sunrise-care-homes-sunnyvale,https://www.seniorly.com/assisted-living/arizona/paradise-valley/sunrise-care-homes-sunnyvale,Assisted Living Community,sunrise-care-homes-sunnyvale-2
,Sunrise Of Chandler,https://www.seniorly.com/assisted-living/arizona/chandler/sunrise-of-chandler,https://www.seniorly.com/assisted-living/arizona/chandler/sunrise-of-chandler,"Assisted Living Community, Memory Care",sunrise-of-chandler
,Sunrise Of Gilbert,https://www.seniorly.com/assisted-living/arizona/gilbert/sunrise-of-gilbert,https://www.seniorly.com/assisted-living/arizona/gilbert/sunrise-of-gilbert,"Assisted Living Community, Independent Living, Memory Care",sunrise-of-gilbert
,Sunrise Of Scottsdale,https://www.seniorly.com/assisted-living/arizona/scottsdale/sunrise-of-scottsdale,https://www.seniorly.com/assisted-living/arizona/scottsdale/sunrise-of-scottsdale,"Assisted Living Community, Memory Care",sunrise-of-scottsdale
,Sunshine Assisted Living,https://www.seniorly.com/assisted-living/arizona/queen-creek/sunshine-assisted-living-queen-creek,https://www.seniorly.com/assisted-living/arizona/queen-creek/sunshine-assisted-living-queen-creek,Assisted Living Community,sunshine-assisted-living
,Supreme Adult Care Home,https://www.seniorly.com/assisted-living/arizona/san-tan-valley/supreme-adult-care-home,https://www.seniorly.com/assisted-living/arizona/san-tan-valley/supreme-adult-care-home,"Assisted Living Community, Assisted Living Home",supreme-adult-care-home
,Tatum Glen Assisted Living,https://www.seniorly.com/assisted-living/arizona/phoenix/tatum-glen-assisted-living-home,https://www.seniorly.com/assisted-living/arizona/phoenix/tatum-glen-assisted-living-home,"Assisted Living Community, Assisted Living Home",tatum-glen-assisted-living
,Tbi Assisted Living,https://www.seniorly.com/assisted-living/arizona/phoenix/tbi-assisted-living,https://www.seniorly.com/assisted-living/arizona/phoenix/tbi-assisted-living,"Assisted Living Community, Assisted Living Home",tbi-assisted-living
,Tbi Care,https://www.seniorly.com/assisted-living/arizona/phoenix/tbi-care,https://www.seniorly.com/assisted-living/arizona/phoenix/tbi-care,"Assisted Living Community, Assisted Living Home, Independent Living, Memory Care, Nursing Home",tbi-care
,Tbi Care,https://www.seniorly.com/assisted-living/arizona/gilbert/tbi-care-inc-gilbert,https://www.seniorly.com/assisted-living/arizona/gilbert/tbi-care-inc-gilbert,"Assisted Living Community, Assisted Living Home, Independent Living, Memory Care, Nursing Home",tbi-care-3
,Tender Care Ii,https://www.seniorly.com/assisted-living/arizona/tucson/tender-care-ii-tucson,https://www.seniorly.com/assisted-living/arizona/tucson/tender-care-ii-tucson,"Assisted Living Community, Assisted Living Home",tender-care-ii
,Terravella Assisted Living Care,https://www.seniorly.com/assisted-living/arizona/queen-creek/terravella-assisted-living-care,https://www.seniorly.com/assisted-living/arizona/queen-creek/terravella-assisted-living-care,Assisted Living Community,terravella-assisted-living-care
,The Bluffs Of Flagstaff,https://www.seniorly.com/assisted-living/arizona/flagstaff/the-bluffs-of-flagstaff,https://www.seniorly.com/assisted-living/arizona/flagstaff/the-bluffs-of-flagstaff,"Assisted Living Community, Independent Living, Memory Care",the-bluffs-of-flagstaff
,The Country Club Of La Cholla,https://www.seniorly.com/assisted-living/arizona/tucson/the-country-club-of-la-cholla,https://www.seniorly.com/assisted-living/arizona/tucson/the-country-club-of-la-cholla,"Assisted Living Community, Independent Living",the-country-club-of-la-cholla
,The Forum At Desert Harbor,https://www.seniorly.com/assisted-living/arizona/peoria/the-forum-at-desert-harbor,https://www.seniorly.com/assisted-living/arizona/peoria/the-forum-at-desert-harbor,"Assisted Living Community, Independent Living",the-forum-at-desert-harbor-2
,The Forum At Tucson,https://www.seniorly.com/assisted-living/arizona/tucson/the-forum-at-tucson,https://www.seniorly.com/assisted-living/arizona/tucson/the-forum-at-tucson,"Assisted Living Community, Independent Living, Memory Care",the-forum-at-tucson
,The Gardens At Blenman Elm,https://www.seniorly.com/assisted-living/arizona/tucson/the-gardens-at-blenman-elm,https://www.seniorly.com/assisted-living/arizona/tucson/the-gardens-at-blenman-elm,Assisted Living Community,the-gardens-at-blenman-elm
,The Gardens At Kingman,https://www.seniorly.com/assisted-living/arizona/kingman/the-gardens-at-kingman,https://www.seniorly.com/assisted-living/arizona/kingman/the-gardens-at-kingman,Assisted Living Community,the-gardens-at-kingman
,The Gardens Of Scottsdale,https://www.seniorly.com/assisted-living/arizona/scottsdale/the-gardens-of-scottsdale,https://www.seniorly.com/assisted-living/arizona/scottsdale/the-gardens-of-scottsdale,"Assisted Living Community, Memory Care",the-gardens-of-scottsdale
,The Greenway Manor Ii,https://www.seniorly.com/assisted-living/arizona/scottsdale/the-greenway-manor-ii,https://www.seniorly.com/assisted-living/arizona/scottsdale/the-greenway-manor-ii,"Assisted Living Community, Assisted Living Home",the-greenway-manor-ii
,The Landings Of Prescott Valley,https://www.seniorly.com/assisted-living/arizona/prescott-valley/the-landings-of-prescott-valley,https://www.seniorly.com/assisted-living/arizona/prescott-valley/the-landings-of-prescott-valley,"Assisted Living Community, Memory Care",the-landings-of-prescott-valley
,The Lodge At 14Th Street,https://www.seniorly.com/assisted-living/arizona/phoenix/the-lodge-at-14th-street,https://www.seniorly.com/assisted-living/arizona/phoenix/the-lodge-at-14th-street,Assisted Living Community,the-lodge-at-14th-street
,The Mission At Agua Fria,https://www.seniorly.com/assisted-living/arizona/peoria/the-mission-at-agua-fria,https://www.seniorly.com/assisted-living/arizona/peoria/the-mission-at-agua-fria,"Assisted Living Community, Memory Care",the-mission-at-agua-fria
,The Montecito Senior Living,https://www.seniorly.com/assisted-living/arizona/peoria/the-montecito-senior-living,https://www.seniorly.com/assisted-living/arizona/peoria/the-montecito-senior-living,"Assisted Living Community, Independent Living, Memory Care",the-montecito-senior-living
,The Oaks,https://www.seniorly.com/assisted-living/arizona/gilbert/the-oaks-gilbert,https://www.seniorly.com/assisted-living/arizona/gilbert/the-oaks-gilbert,"Assisted Living Community, Memory Care",the-oaks
,The Oasis At Fellowship Square Surprise,https://www.seniorly.com/assisted-living/arizona/surprise/the-oasis-at-fellowship-square-surprise,https://www.seniorly.com/assisted-living/arizona/surprise/the-oasis-at-fellowship-square-surprise,Assisted Living Community,the-oasis-at-fellowship-square-surprise
,The Pines,https://www.seniorly.com/assisted-living/arizona/flagstaff/pines-the-flagstaff,https://www.seniorly.com/assisted-living/arizona/flagstaff/pines-the-flagstaff,"Assisted Living Community, Assisted Living Home",the-pines
,The Ranch Estates At Scottsdale,https://www.seniorly.com/assisted-living/arizona/scottsdale/the-manor-village-at-scottsdale,https://www.seniorly.com/assisted-living/arizona/scottsdale/the-manor-village-at-scottsdale,"Assisted Living Community, Independent Living",the-ranch-estates-at-scottsdale
,The Ranch Estates Of Tucson,https://www.seniorly.com/assisted-living/arizona/tucson/the-ranch-estates-of-tucson,https://www.seniorly.com/assisted-living/arizona/tucson/the-ranch-estates-of-tucson,"Assisted Living Community, Memory Care",the-ranch-estates-of-tucson
,The Retreat At Desert Cove,https://www.seniorly.com/assisted-living/arizona/scottsdale/the-retreat-at-desert-cove,https://www.seniorly.com/assisted-living/arizona/scottsdale/the-retreat-at-desert-cove,"Assisted Living Community, Assisted Living Home",the-retreat-at-desert-cove
,The Springs Of Scottsdale,https://www.seniorly.com/assisted-living/arizona/scottsdale/the-springs-of-scottsdale,https://www.seniorly.com/assisted-living/arizona/scottsdale/the-springs-of-scottsdale,Assisted Living Community,the-springs-of-scottsdale
,The Summit At Sunland Springs,https://www.seniorly.com/assisted-living/arizona/mesa/the-summit-at-sunland-springs,https://www.seniorly.com/assisted-living/arizona/mesa/the-summit-at-sunland-springs,Assisted Living Community,the-summit-at-sunland-springs
,The Villa At Tuckey Lane,https://www.seniorly.com/assisted-living/arizona/phoenix/the-villa-at-tuckey-lane,https://www.seniorly.com/assisted-living/arizona/phoenix/the-villa-at-tuckey-lane,Assisted Living Community,the-villa-at-tuckey-lane
,The Villa Rosa,https://www.seniorly.com/assisted-living/arizona/sahuarita/the-villa-rosa,https://www.seniorly.com/assisted-living/arizona/sahuarita/the-villa-rosa,"Assisted Living Community, Assisted Living Home",the-villa-rosa
,The Village At Ocotillo,https://www.seniorly.com/assisted-living/arizona/chandler/village-at-ocotillo-the,https://www.seniorly.com/assisted-living/arizona/chandler/village-at-ocotillo-the,"Assisted Living Community, Independent Living",the-village-at-ocotillo
,The Vital Signs Health,https://www.seniorly.com/assisted-living/arizona/mesa/the-vital-signs-health,https://www.seniorly.com/assisted-living/arizona/mesa/the-vital-signs-health,Assisted Living Community,the-vital-signs-health
,The Watermark At Morrison Ranch,https://www.seniorly.com/assisted-living/arizona/gilbert/the-watermark-at-morrison-ranch,https://www.seniorly.com/assisted-living/arizona/gilbert/the-watermark-at-morrison-ranch,"Assisted Living Community, Memory Care",the-watermark-at-morrison-ranch
,The Woodmark At Sun City,https://www.seniorly.com/assisted-living/arizona/sun-city/the-woodmark-at-sun-city,https://www.seniorly.com/assisted-living/arizona/sun-city/the-woodmark-at-sun-city,"Assisted Living Community, Independent Living, Memory Care",the-woodmark-at-sun-city
,Thunderbird Quality Home Care,https://www.seniorly.com/assisted-living/arizona/glendale/thunderbird-quality-home-care,https://www.seniorly.com/assisted-living/arizona/glendale/thunderbird-quality-home-care,"Assisted Living Community, Assisted Living Home",thunderbird-quality-home-care
,Thunderbird Senior Living,https://www.seniorly.com/assisted-living/arizona/glendale/thunderbird-senior-living,https://www.seniorly.com/assisted-living/arizona/glendale/thunderbird-senior-living,"Assisted Living Community, Independent Living, Memory Care",thunderbird-senior-living
,Tramonto Desert Rose Assisted Living,https://www.seniorly.com/assisted-living/arizona/phoenix/tramonto-desert-rose-assisted-living,https://www.seniorly.com/assisted-living/arizona/phoenix/tramonto-desert-rose-assisted-living,Assisted Living Community,tramonto-desert-rose-assisted-living
,Tranquility Assisted Living,https://www.seniorly.com/assisted-living/arizona/scottsdale/tranquility-assisted-living-home,https://www.seniorly.com/assisted-living/arizona/scottsdale/tranquility-assisted-living-home,"Assisted Living Community, Assisted Living Home",tranquility-assisted-living
,Trustwell Living At Kingswood Place,https://www.seniorly.com/assisted-living/arizona/surprise/kingswood-place,https://www.seniorly.com/assisted-living/arizona/surprise/kingswood-place,Assisted Living Community,trustwell-living-at-kingswood-place
,Truval Assisted Living,https://www.seniorly.com/assisted-living/arizona/tucson/truval-assisted-living-home,https://www.seniorly.com/assisted-living/arizona/tucson/truval-assisted-living-home,"Assisted Living Community, Assisted Living Home",truval-assisted-living
,Twilight Haven Mesa,https://www.seniorly.com/assisted-living/arizona/mesa/twilight-haven-mesa,https://www.seniorly.com/assisted-living/arizona/mesa/twilight-haven-mesa,Assisted Living Community,twilight-haven-mesa
,Upon The Rock Assisted Living,https://www.seniorly.com/assisted-living/arizona/scottsdale/upon-the-rock-assisted-living,https://www.seniorly.com/assisted-living/arizona/scottsdale/upon-the-rock-assisted-living,"Assisted Living Community, Assisted Living Home",upon-the-rock-assisted-living
,Valley Care Management,https://www.seniorly.com/assisted-living/arizona/gilbert/valley-care-management-corporation,https://www.seniorly.com/assisted-living/arizona/gilbert/valley-care-management-corporation,"Assisted Living Community, Assisted Living Home",valley-care-management
,Verde Valley Assisted Living,https://www.seniorly.com/assisted-living/arizona/cottonwood/verde-valley-assisted-living,https://www.seniorly.com/assisted-living/arizona/cottonwood/verde-valley-assisted-living,Assisted Living Community,verde-valley-assisted-living
,Via Elegante Galleria,https://www.seniorly.com/assisted-living/arizona/tucson/via-elegante-galleria,https://www.seniorly.com/assisted-living/arizona/tucson/via-elegante-galleria,"Assisted Living Community, Assisted Living Home, Memory Care",via-elegante-galleria
,Via Elegante Mediterranean,https://www.seniorly.com/assisted-living/arizona/tucson/via-elegante-mediterranean,https://www.seniorly.com/assisted-living/arizona/tucson/via-elegante-mediterranean,"Assisted Living Community, Assisted Living Home, Memory Care",via-elegante-mediterranean
,Via Elegante Sierra Vista Highlands,https://www.seniorly.com/assisted-living/arizona/sierra-vista/via-elegante-sierra-vista-highlands,https://www.seniorly.com/assisted-living/arizona/sierra-vista/via-elegante-sierra-vista-highlands,Assisted Living Community,via-elegante-sierra-vista-highlands
,Via Elegante Tucson Mountains,https://www.seniorly.com/assisted-living/arizona/tucson/via-elegante-tucson-mountains,https://www.seniorly.com/assisted-living/arizona/tucson/via-elegante-tucson-mountains,"Assisted Living Community, Memory Care",via-elegante-tucson-mountains
