title,id_sp,website_sp,types_sp,id_sr,website_sr,types_sr
Shepherd Hills Senior Care,,https://app.seniorplace.com/communities/show/b6fc7cbc-9eac-4aeb-9477-9d6ac2d3f0b9,Assisted Living Home,,https://www.seniorly.com/assisted-living/arizona/tucson/shepherd-hills-senior-care,Assisted Living Home
Sheridan Garden Assisted Living,,https://app.seniorplace.com/communities/show/942d60ed-5d01-4a33-a140-d0e5114ef785,Assisted Living Home,,https://www.seniorly.com/assisted-living/arizona/glendale/sheridan-garden-assisted-living,"Assisted Living Home, Independent Living, Assisted Living Community"
Silver Creek Leisure Living,,https://app.seniorplace.com/communities/show/46ce0cba-1790-4e19-995d-0838dee44a12,"Independent Living, Assisted Living Community",,https://www.seniorly.com/assisted-living/arizona/bullhead-city/silver-creek-leisure-living,Assisted Living Home
Spring Days Adult Care Home,,https://app.seniorplace.com/communities/show/c85a887c-5fb1-4dbe-b106-ad63f6f667f3,Assisted Living Home,,https://www.seniorly.com/assisted-living/arizona/tucson/spring-days-adult-care-home-llc,"Assisted Living Home, Independent Living, Assisted Living Community"
Summersett Haven,,https://app.seniorplace.com/communities/show/f7039c96-328d-4a17-a0c9-84706b1e0f29,Uncategorized,,https://www.seniorly.com/assisted-living/arizona/tucson/summersett-haven,"Assisted Living Home, Independent Living, Assisted Living Community"
Sunrise Adult Care Home 2,,https://app.seniorplace.com/communities/show/9941c6a1-0fdb-4e8d-9908-99e0306384b6,Assisted Living Home,,https://www.seniorly.com/assisted-living/arizona/glendale/sunrise-adult-care-home-2-glendale,"Assisted Living Home, Independent Living, Assisted Living Community"
Sunrise Care Homes Sunnyvale,,https://app.seniorplace.com/communities/show/d0231238-0ad7-4124-853d-535a23add91b,Assisted Living Home,,https://www.seniorly.com/assisted-living/arizona/paradise-valley/sunrise-care-homes-sunnyvale,Assisted Living Home
Tbi Care,,https://app.seniorplace.com/communities/show/930f5879-d663-4a06-89df-30722cef568c,Assisted Living Home,,https://www.seniorly.com/assisted-living/arizona/phoenix/tbi-care,Assisted Living Home
The Enclave At Anthem Senior Living,,https://app.seniorplace.com/communities/show/f383af83-9669-45d5-a5de-9268f35b4edc,Assisted Living Community,,https://www.seniorly.com/assisted-living/arizona/phoenix/the-enclave-at-anthem-senior-living,"Assisted Living Home, Independent Living, Memory Care"
The Forum At Desert Harbor,,https://app.seniorplace.com/communities/show/5223fb6a-1604-43d7-a8c5-b8ab8b7be5a5,"Independent Living, Assisted Living Community",,https://www.seniorly.com/assisted-living/arizona/peoria/the-forum-at-desert-harbor,"Assisted Living Home, Independent Living"
The Gardens Of Sun City,,https://app.seniorplace.com/communities/show/454e6d77-332f-428b-a893-bdff1be68785,Uncategorized,,https://www.seniorly.com/assisted-living/arizona/sun-city/the-gardens-of-sun-city,"Assisted Living Home, Independent Living, Memory Care"
The Heritage Tradition,,https://app.seniorplace.com/communities/show/733bf09a-4bf3-4890-a74c-2926fb94642c,"Independent Living, Assisted Living Community",,https://www.seniorly.com/assisted-living/arizona/sun-city-west/the-heritage-tradition,"Assisted Living Home, Independent Living"
The Meadows Of Prescott Valley,,https://app.seniorplace.com/communities/show/02f4a23c-15d5-4702-931d-a5e1bd2eb6af,Assisted Living Home,,https://www.seniorly.com/assisted-living/arizona/prescott/the-meadows-of-prescott-valley-llc,"Assisted Living Home, Independent Living, Assisted Living Community"
The Watermark At Morrison Ranch,,https://app.seniorplace.com/communities/show/cb0953f4-9e82-45da-97df-75717761347e,Assisted Living Community,,https://www.seniorly.com/assisted-living/arizona/gilbert/the-watermark-at-morrison-ranch,"Assisted Living Home, Independent Living, Memory Care"
Torbrook Manor,,https://app.seniorplace.com/communities/show/f79d399b-21fd-415a-a43e-85013cbee231,Assisted Living Home,,https://www.seniorly.com/assisted-living/arizona/paradise-valley/torbrook-manor,Assisted Living Home
West Valley Care Home,,https://app.seniorplace.com/communities/show/a1213662-c08a-449b-9697-d3799fb55fd6,Assisted Living Home,,https://www.seniorly.com/assisted-living/arizona/peoria/west-valley-care-home-peoria,"Assisted Living Home, Independent Living, Assisted Living Community"
Young Family Care Homes And Investments,,https://app.seniorplace.com/communities/show/f85a5378-2c6d-418b-8b2f-17053d7cbb53,Assisted Living Home,,https://www.seniorly.com/assisted-living/arizona/chandler-heights/young-family-care-homes-and-investments-llc,"Assisted Living Home, Independent Living, Assisted Living Community"
Zaweah Luxury Living,,https://app.seniorplace.com/communities/show/334141d8-56a6-4bab-9292-921f7a44f041,Assisted Living Home,,https://www.seniorly.com/assisted-living/arizona/laveen/zaweah-luxury-living,"Assisted Living Home, Independent Living, Assisted Living Community"
New Beginnings,,https://app.seniorplace.com/communities/show/c46e8dc2-a900-4e85-9100-932c17e17672,Assisted Living Community,,https://www.seniorly.com/assisted-living/arizona/gilbert/new-beginnings-gilbert,"Assisted Living Home, Independent Living, Assisted Living Community"
Mountain View Assisted Living,,https://app.seniorplace.com/communities/show/b2bbc030-dc96-4a7d-957b-8f89fee83e76,Uncategorized,,https://www.seniorly.com/assisted-living/arizona/scottsdale/mountain-view-assisted-living-scottsdale,"Assisted Living Home, Independent Living, Assisted Living Community"
Mountain View Manor,,https://app.seniorplace.com/communities/show/be299dcc-9c4f-4259-884f-4ebeccec6f1b,Assisted Living Home,,https://www.seniorly.com/assisted-living/arizona/prescott/mountain-view-manor,"Assisted Living Home, Independent Living, Nursing Home"
Fellowship Square Tucson,,https://app.seniorplace.com/communities/show/a7d4456b-8b07-456a-b690-93102f81f6b6,"Independent Living, Assisted Living Community",,https://www.seniorly.com/assisted-living/arizona/tucson/fellowship-square,"Assisted Living Home, Independent Living"
