ID,Title,WordPress_Type,Senior_Place_Types,Should_Be_Type,Corrected_Normalized_Types
,The Watermark Of Oro Valley,Assisted Living Community,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Tucson Assisted Living Retreat,Assisted Living Community,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Tucson Place Assisted Living Memory Care,Assisted Living Community,"Assisted Living Home, Memory Care",Assisted Living Home,"Assisted Living Home, Memory Care"
,Ventana Winds,Assisted Living Community,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Vi At Grayhawk A Vi And Plaza Companies Community,Assisted Living Community,"Assisted Living Home, Continuing Care Retirement Community",Assisted Living Home,"Assisted Living Home, Assisted Living Community"
,Vi At Silverstone A Vi And Plaza Companies Commun,Assisted Living Community,"Assisted Living Home, Continuing Care Retirement Community",Assisted Living Home,"Assisted Living Home, Assisted Living Community"
,Via Elegante Sierra Vista Canyons,Assisted Living Community,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Villa Ocotillo Assisted Living,Assisted Living Community,"Assisted Living Home, Memory Care",Assisted Living Home,"Assisted Living Home, Memory Care"
,Villas At Green Valley,Assisted Living Community,"Assisted Living Home, Memory Care",Assisted Living Home,"Assisted Living Home, Memory Care"
,Visions Senior Living At Apache Junction 2,Assisted Living Community,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Visions Senior Living At Mesa 2,Assisted Living Community,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Vista Pointe At Sierra Vista,Assisted Living Community,"Assisted Living Home, Memory Care",Assisted Living Home,"Assisted Living Home, Memory Care"
,Vista Winds,Assisted Living Community,Independent Living,Independent Living,Independent Living
,Vista Winds,Assisted Living Community,Independent Living,Independent Living,Independent Living
,Watermark At Continental Ranch,Independent Living,"Assisted Living Home, Independent Living",Assisted Living Home,"Assisted Living Home, Independent Living"
,Willow Wind Assisted Living,Assisted Living Community,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Woodland Palms,Assisted Living Community,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Clearwater Ahwatukee,Other/Unknown,"Assisted Living Home, Independent Living, Memory Care",Assisted Living Home,"Assisted Living Home, Independent Living, Memory Care"
,Marigold Assisted Living,Other/Unknown,"Assisted Living Home, Board And Care Home, Memory Care",Assisted Living Home,"Assisted Living Home, Memory Care"
,Fairmont Village,Assisted Living Home,Memory Care,Memory Care,Memory Care
,Avalon Care Centerbountiful,Nursing Home,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Avista Senior Living Albuquerque,Assisted Living Community,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Avista Senior Living Garden City,Assisted Living Community,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Avista Senior Living Nampa,Assisted Living Community,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Avista Senior Living Twin Falls,Assisted Living Community,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Bee Hive Homes Of Albuquerque West,Assisted Living Community,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Bee Hive Homes Of Edgewood Ii,Assisted Living Community,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Bee Hive Homes Of Pagosa Springs,Assisted Living Community,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Bee Hive Homes Of Rio Rancho Ii,Assisted Living Community,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Bee Hive Homes Of Santa Fe,Assisted Living Community,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Bee Hive Homes Of Taylor Ranch,Assisted Living Community,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Best Assisted Living,Assisted Living Community,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Best Assisted Living,Assisted Living Community,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Bethesda Gardens Loveland,Assisted Living Community,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Bethesda Gardens Monument,Assisted Living Community,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Bethesda Gardens Thornton,Assisted Living Community,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Bethesda Gardens Thornton Assisted Living And Memory Care,Other/Unknown,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Cache Valley Assisted Living,Independent Living,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Caring Hearts,Assisted Living Community,"Assisted Living Home, Memory Care",Assisted Living Home,"Assisted Living Home, Memory Care"
,Comfort Care Assisted Living Memory Care,Other/Unknown,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Country Cottage Assisted Living,Assisted Living Community,"Assisted Living Home, Board And Care Home",Assisted Living Home,Assisted Living Home
,Country Oaks Assisted Living Of Layton,Assisted Living Community,"Assisted Living Home, Board And Care Home",Assisted Living Home,Assisted Living Home
,Crestwood Serenity Assisted Living,Assisted Living Community,"Assisted Living Home, Board And Care Home",Assisted Living Home,Assisted Living Home
,Fellowship Square Tucson,Independent Living,"Assisted Living Home, Independent Living",Assisted Living Home,"Assisted Living Home, Independent Living"
,Friendship House At The Home,Assisted Living Community,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Gardens Assisted Living,Assisted Living Community,"Assisted Living Home, Board And Care Home",Assisted Living Home,Assisted Living Home
,Good Life Assisted Living,Assisted Living Community,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Good Life Assisted Living And Memory Care,Assisted Living Community,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Grace Assisted Living,Assisted Living Community,"Assisted Living Home, Board And Care Home",Assisted Living Home,Assisted Living Home
,Grace Assisted Living Allumbaugh Way,Other/Unknown,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Grace Assisted Living At Caldwell,Assisted Living Community,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Grace Assisted Living At State Street,Assisted Living Community,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Grace Assisted Living,Assisted Living Community,"Assisted Living Home, Board And Care Home",Assisted Living Home,Assisted Living Home
,Grace Assisted Living Of Fairview Lakes,Assisted Living Community,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Heatherwood Senior Living,Independent Living,"Assisted Living Home, Board And Care Home",Assisted Living Home,Assisted Living Home
,Heber Valley Assisted Living,Assisted Living Community,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Heritage Assisted Living Of Twin Falls,Assisted Living Community,"Assisted Living Home, Board And Care Home",Assisted Living Home,Assisted Living Home
,Hidden Valley Assisted Living,Assisted Living Community,Assisted Living Home,Assisted Living Home,Assisted Living Home
,High Desert Assisted Livinghouse 1,Assisted Living Community,Assisted Living Home,Assisted Living Home,Assisted Living Home
,High Desert Assisted Livinghouse 2,Assisted Living Community,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Lakeside,Assisted Living Community,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Lakeside Assisted Living Sandpoint,Assisted Living Community,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Legacy Retirement Residence,Independent Living,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Los Alamos Assisted Living,Assisted Living Community,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Luna Assisted Living,Assisted Living Community,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Meadows Assisted Living Center,Assisted Living Community,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Monroe Canyon Assisted Living,Assisted Living Community,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Mountain View Assisted Living,Other/Unknown,"Assisted Living Home, Board And Care Home",Assisted Living Home,Assisted Living Home
,New Beginnings,Assisted Living Community,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Parkwood Meadows Assisted Living,Assisted Living Community,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Peachtree Assisted Living Llc 1,Assisted Living Community,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Peachtree Assisted Living Llc 2,Assisted Living Community,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Point Of The Pines Gardens Assisted Living,Assisted Living Community,"Assisted Living Home, Board And Care Home",Assisted Living Home,Assisted Living Home
,Prestige Assisted Living At Autumn Wind,Assisted Living Community,Assisted Living Home,Assisted Living Home,Assisted Living Home
,St Lukes Home Care Hospice,Home Care,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Summit Senior Living,Assisted Living Community,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Sunrise Assisted Living At University Park,Assisted Living Community,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Sunrise Assisted Living Of Boulder,Assisted Living Community,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Sunset Vista,Assisted Living Community,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Tambree Meadows Assisted Living,Assisted Living Community,Assisted Living Home,Assisted Living Home,Assisted Living Home
,The Gardens At Broadmoor Court Assisted Living Bethesda Community,Assisted Living Community,Assisted Living Home,Assisted Living Home,Assisted Living Home
,The Heritage Assisted Living,Assisted Living Community,"Assisted Living Home, Board And Care Home",Assisted Living Home,Assisted Living Home
,The Retreat At Sunbrook Assisted Living,Assisted Living Community,Assisted Living Home,Assisted Living Home,Assisted Living Home
,The Retreat At Sunriver St George,Assisted Living Community,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Unique Senior Care Assisted Living,Other/Unknown,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Valley Assisted Living,Assisted Living Community,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Welcome Home Assisted Living,Assisted Living Community,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Welcome Home Assisted Living American Fork,Assisted Living Community,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Welcome Home Healthcare Services,Home Care,Assisted Living Home,Assisted Living Home,Assisted Living Home
,Wellspring Meadows Assisted Living,Assisted Living Community,Assisted Living Home,Assisted Living Home,Assisted Living Home
